pt_name,pt_code,soc_name,soc_code
abdominal adhesions,10000050.0,Gastrointestinal disorders,10017947.0
abdominal discomfort,10000059.0,Gastrointestinal disorders,10017947.0
abdominal distension,10000060.0,Gastrointestinal disorders,10017947.0
abdominal hernia,10060954.0,Gastrointestinal disorders,10017947.0
abdominal hernia infection,10077232.0,Infections and infestations,10021881.0
abdominal infection,10056519.0,Infections and infestations,10021881.0
abdominal lymphadenopathy,10073485.0,Blood and lymphatic system disorders,10005329.0
abdominal mass,10000077.0,Gastrointestinal disorders,10017947.0
abdominal neoplasm,10060925.0,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",10029104.0
abdominal pain,10000081.0,Gastrointestinal disorders,10017947.0
abdominal pain lower,10000084.0,Gastrointestinal disorders,10017947.0
abdominal pain upper,10000087.0,Gastrointestinal disorders,10017947.0
abdominal rigidity,10000090.0,Gastrointestinal disorders,10017947.0
abdominal sepsis,10058040.0,Infections and infestations,10021881.0
abdominal tenderness,10000097.0,Gastrointestinal disorders,10017947.0
abdominal wall abscess,10000099.0,Infections and infestations,10021881.0
abdominal wall cyst,10051634.0,Gastrointestinal disorders,10017947.0
abdominal wall oedema,10082609.0,Gastrointestinal disorders,10017947.0
abnormal behaviour,10061422.0,Psychiatric disorders,10037175.0
abnormal dreams,10000125.0,Psychiatric disorders,10037175.0
abnormal faeces,10000133.0,Gastrointestinal disorders,10017947.0
abnormal loss of weight,10000159.0,Metabolism and nutrition disorders,10027433.0
abnormal organ growth,10079750.0,General disorders and administration site conditions,10018065.0
abnormal sensation in eye,10000173.0,Eye disorders,10015919.0
abnormal weight gain,10000188.0,Metabolism and nutrition disorders,10027433.0
abscess,10000269.0,Infections and infestations,10021881.0
abscess intestinal,10000285.0,Infections and infestations,10021881.0
abscess jaw,10053573.0,Infections and infestations,10021881.0
abscess limb,10050473.0,Infections and infestations,10021881.0
abscess neck,10053576.0,Infections and infestations,10021881.0
abscess oral,10000311.0,Infections and infestations,10021881.0
absence of immediate treatment response,10081766.0,General disorders and administration site conditions,10018065.0
acarodermatitis,10063409.0,Infections and infestations,10021881.0
accelerated hypertension,10000358.0,Vascular disorders,10047065.0
accelerated idioventricular rhythm,10049003.0,Cardiac disorders,10007541.0
accident,10000369.0,"Injury, poisoning and procedural complications",10022117.0
accidental exposure to product,10073317.0,"Injury, poisoning and procedural complications",10022117.0
accidental overdose,10000381.0,"Injury, poisoning and procedural complications",10022117.0
acetabulum fracture,10000397.0,"Injury, poisoning and procedural complications",10022117.0
acid base balance abnormal,10000457.0,Investigations,10022891.0
acidosis,10000486.0,Metabolism and nutrition disorders,10027433.0
acne,10000496.0,Skin and subcutaneous tissue disorders,10040785.0
acquired diaphragmatic eventration,10059185.0,"Respiratory, thoracic and mediastinal disorders",10038738.0
acquired gene mutation,10069754.0,"Congenital, familial and genetic disorders",10010331.0
acquired oesophageal web,10052820.0,Gastrointestinal disorders,10017947.0
acromegaly,10000599.0,Endocrine disorders,10014698.0
